"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"1","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"WHAT DO YOU MEME? Incohearent - Adult Party Game","WHAT DO YOU MEME?","B07QSCQMXV",19.99,NA,NA,NA,NA,0.0818181818181818
"2","Toys & Games","Stuffed Animals & Plush Toys",NA,NA,NA,NA,NA,"Limited Edition Golden Disney Mickey Mouse Plush","Disney Year of the Mouse","B07Z8R7BG3",29.99,NA,NA,NA,NA,0.0818181818181818
"3","Toys & Games","Games & Accessories","Dice Games",NA,NA,NA,NA,"LCR® Left Center Right™ Dice Game - Blue Tin","George & Company LLC","B003I64OT6",8.23,NA,NA,NA,NA,0.0818181818181818
"7","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras",NA,NA,NA,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, One Pack, White - WYZEC2","Wyze Labs","B076H3SRXG",23.99,NA,NA,NA,NA,0.0818181818181818
"8","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White - WYZECP1","Wyze Labs","B07DGR98VQ",34.99,NA,NA,NA,NA,0.0818181818181818
"9","Electronics","Camera & Photo","Film Photography","Film Cameras",NA,NA,NA,"Fujifilm Instax Mini Instant Film, 10 Sheets<U+00D7>5 Pack(Total 50 Shoots)","Fujifilm","B015IY34FA",32.35,NA,NA,NA,NA,0.0818181818181818
"10","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$10 PlayStation Store Gift Card [Digital Code]","Playstation","B00GAC1D2G",237.41,NA,NA,NA,NA,0.0818181818181818
"11","Video Games","Online Game Services","Nintendo eShop","Store Currency & Points Cards",NA,NA,NA,"$10 Nintendo eShop Gift Card [Digital Code]","Nintendo","B01LZNGPY3",87.04,NA,NA,NA,NA,0.0818181818181818
"12","Video Games","Online Game Services","Nintendo eShop","Store Currency & Points Cards",NA,NA,NA,"$10 Nintendo eShop Gift Card [Digital Code]","Nintendo","B07ZJ6RY1W",93.17,NA,NA,NA,NA,0.0818181818181818
"13","Video Games","Online Game Services","Xbox Live","Store Currency Cards",NA,NA,NA,"$10 Xbox Gift Card [Digital Code]","Microsoft","B00F4CEHNK",305.26,NA,NA,NA,NA,0.0818181818181818
"14","Clothing, Shoes & Jewelry","Women","Clothing","Jeans",NA,NA,NA,"Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Pull-on Skinny Jeans",NA,"B07LCRWST8",24.56,NA,NA,NA,NA,10
