"V1","dec1"
"3767","N"
"3805","N"
"3883","N"
"3912","N"
"3914","N"
"3993","N"
"4080","N"
"4082","Y"
"4084","N"
"4144","N"
"4186","Y"
"4189","Y"
"4212","Y"
"4256","N"
"4282","Y"
"4338","Y"
"4388","N"
"4415","N"
"4454","N"
"4570","N"
"4614","Y"
"4616","Y"
"4734","N"
"4917","N"
"4929","N"
"4949","N"
"4969","N"
"5049","Y"
"5112","N"
"5126","Y"
"5171","N"
"5258","N"
"5327","Y"
"5349","N"
"5378","N"
"5433","N"
"5504","N"
"5527","N"
"5533","N"
"5598","Y"
"5603","N"
"5609","N"
"5726","N"
"5727","N"
"5790","N"
"5800","N"
"5824","N"
"5853","N"
"5951","N"
"6088","N"
"6220","N"
"6289","N"
"6321","N"
"6349","N"
"6417","N"
"6427","Y"
"6486","Y"
"6493","Y"
"6523","N"
"6526","Y"
"6679","N"
"6764","N"
"6847","Y"
"6890","Y"
"6902","N"
"6960","N"
"6974","Y"
"6986","N"
"7159","N"
"7234","N"
"7276","N"
"7285","N"
"7380","Y"
"7381","Y"
"7384","N"
"7397","N"
"7413","Y"
"7443","N"
"7469","N"
"7478","N"
"7496","Y"
"7525","Y"
"7635","N"
"7669","N"
"7705","N"
"7773","Y"
"7788","N"
"7829","Y"
"7849","Y"
"7881","N"
"7898","N"
"7953","N"
"7996","N"
"8065","Y"
"8144","N"
"8147","N"
"8172","Y"
"8203","N"
"8232","N"
"8380","Y"
"8411","N"
"8539","N"
"8547","N"
"8587","N"
"8604","Y"
"8613","N"
"8662","N"
"8688","Y"
"8705","N"
"8712","N"
"8756","N"
"8801","N"
"8809","N"
"8918","Y"
"8955","N"
"8976","Y"
"8985","N"
"8998","N"
"9034","N"
"9070","Y"
"9159","Y"
"9420","Y"
"9556","N"
"9576","N"
"9583","Y"
"9652","Y"
"9730","N"
"9899","Y"
"9930","N"
"9981","N"
"10015","N"
"10125","Y"
"10156","N"
"10256","Y"
"10295","N"
"10319","N"
"10332","Y"
"10464","N"
"10497","N"
"10580","N"
"10626","N"
"10627","Y"
"10664","N"
"10737","N"
"10919","N"
"10941","N"
"10953","N"
"11036","Y"
"11063","N"
"11200","Y"
"11220","N"
"11297","N"
"11311","N"
"11331","Y"
"11414","N"
"11571","N"
"11632","Y"
"11665","N"
"11807","Y"
"11834","N"
"11866","N"
"11886","N"
"12050","Y"
"12092","Y"
"12173","Y"
"12174","N"
"12199","N"
"12315","Y"
"12508","N"
"12537","N"
"12614","N"
"12619","N"
"12650","N"
"12744","N"
"12791","N"
"12800","N"
"12835","N"
"12890","N"
"12987","N"
"13007","N"
"13075","N"
"13080","Y"
"13097","N"
"13124","N"
"13258","N"
"13286","Y"
"13294","N"
"13337","N"
"13473","N"
"13515","N"
"13517","N"
"13531","N"
"13591","N"
"13719","N"
"13745","Y"
"13784","N"
"13786","Y"
"13821","N"
"13989","N"
"14004","N"
"14091","N"
"14111","Y"
"14216","N"
"14221","N"
"14271","Y"
"14303","N"
"14343","N"
"14387","N"
"14389","Y"
"14398","N"
"14445","Y"
"14534","N"
"14596","N"
"14622","Y"
"14666","Y"
"14783","N"
"14807","N"
"14831","N"
"14866","Y"
"14976","N"
"15135","Y"
"15158","N"
"15304","N"
"15351","N"
"15475","N"
"15476","N"
"15615","N"
"15637","Y"
"15645","N"
"15701","Y"
"15740","Y"
"15743","N"
"15749","Y"
"15768","N"
"15835","Y"
"15836","N"
"15855","N"
"15914","N"
"15929","N"
"15936","N"
"15950","N"
"15957","Y"
"15988","N"
